timestamp,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),temperature [°C],Solar:ElectricityProduced [kW](Hourly),Class,theft,transaction_id,node_id
2023-01-01 00:00:00,10.0,1.2153392883573537,0.0,0.5101209393919373,0.4416032103905293,2.224413429171266,52.95,5.187519068886591,16.404003565029196,28.317356375424996,20.52,0.0,Normal,Normal,0x21095949d6b3491f,Node_1
2023-01-01 01:00:00,10.0,1.2974633181139075,0.0,0.44237676083434524,0.651707082184328,2.170785277836984,62.87,7.25983136035193,16.813782852813738,34.33171672165493,19.63,0.0,Normal,Normal,0xf464951590ad48d8,Node_1
2023-01-01 02:00:00,10.0,1.1520910717459671,0.0,0.055050253561253,1.1058299276160999,2.3169364276047077,50.0,1.3557043439359227,13.383614442242914,23.119696246347637,21.73,0.24,Normal,Normal,0xce71decd41084017,Node_1
2023-01-01 03:00:00,10.0,0.7553422968247241,0.0,0.05927109720678061,0.3338601169918903,1.5443693076778042,50.0,1.446672363822069,10.087622172277035,20.24377588831342,21.75,0.0,Normal,Normal,0x3209be722adb48bd,Node_1
2023-01-01 04:00:00,10.0,0.5128334464630044,0.0,0.0,0.377535483448237,1.0036060364023043,50.0,0.0,12.227556122861243,20.156480197583956,22.28,0.2,Normal,Normal,0x5efd950024ac42b1,Node_1
2023-01-01 05:00:00,10.0,0.7153100692399144,0.0,0.0,0.4818945407169442,2.1962415366674866,60.72,0.0,16.79630305985129,40.325434587383405,23.52,0.26,Normal,Normal,0xea83d205ff3949f4,Node_1
2023-01-01 06:00:00,10.0,1.489471219646114,0.0,0.0,1.8722350818399598,3.3159634385812415,50.0,0.0,19.107690163097672,28.370721576605906,25.53,0.0,Normal,Normal,0xc0b8391c03684b02,Node_1
2023-01-01 07:00:00,10.0,1.7097954539657294,0.15006174007932657,0.0,2.960000049716251,3.141280183031235,75.25,0.0,14.86993554445435,51.006999445196065,26.53,1.2,Normal,Normal,0x262234c45d7e4bdc,Node_1
2023-01-01 08:00:00,10.26,2.6429186497031925,1.074041166005936,0.0,1.0947160077902256,4.949648561627414,63.66,0.0,19.711551963839042,41.28731972218916,28.23,1.97,Normal,Normal,0x719bd19780774d52,Node_1
2023-01-01 09:00:00,10.0,1.3722417427734015,0.6692590091521889,0.0,0.6592545935384082,1.896482389816661,50.0,0.0,13.204088464271427,28.10517933541941,28.82,4.7,Normal,Normal,0x5ca2fff1652a42b7,Node_1
2023-01-01 10:00:00,11.58,2.2138003104749284,1.1195528264983294,0.0,1.1022728767186667,5.667086699870015,65.11,0.0,18.61741992123799,40.02236875192763,29.42,3.98,Normal,Normal,0x0ce839d184ed483f,Node_1
2023-01-01 11:00:00,10.0,2.182442667043392,1.3313788977309338,0.0,1.0349857933120046,4.210382970072827,50.0,0.0,9.673979127584122,24.550382288966023,29.26,9.29,Normal,Normal,0x0db904c25da4427f,Node_1
2023-01-01 12:00:00,10.0,1.8365047263689858,1.6805894195692828,0.0,0.9353758958535571,2.780023669162539,50.0,0.0,18.21215690615503,25.68671648536155,31.37,3.2,Normal,Normal,0xf52951848d064aa4,Node_1
